Zeit; Hinterer Farbsensor; Vorderer Farbsensor; Distanzsensor 
21; 2144; 953; 1023
43; 2144; 953; 1023
66; 2144; 953; 1023
89; 2144; 953; 1023
113; 2154; 953; 1023
136; 2154; 953; 1023
160; 2154; 962; 1023
183; 2144; 962; 1023
207; 2144; 962; 1023
230; 2124; 962; 1023
253; 2084; 972; 1023
276; 2074; 972; 1023
299; 2064; 1022; 1023
323; 2054; 1052; 1023
347; 2054; 1062; 1023
371; 2054; 1062; 1023
395; 2054; 1072; 1023
419; 2054; 1072; 1023
443; 2054; 1082; 1023
467; 2054; 1082; 1023
491; 2054; 1082; 1023
515; 2045; 1111; 1023
539; 2045; 1111; 1023
563; 2045; 1111; 1023
587; 2045; 1131; 1023
610; 2045; 1131; 1023
634; 2045; 1141; 1023
657; 2045; 1141; 1023
680; 2045; 1141; 1023
703; 2045; 1151; 1023
726; 2045; 1141; 1023
750; 2045; 1141; 1023
774; 2045; 1141; 1023
798; 2045; 1141; 1023
822; 2045; 1141; 1023
845; 2045; 1121; 1023
869; 2045; 1121; 1023
893; 2045; 1121; 1023
916; 2045; 1111; 1023
939; 2045; 1111; 1023
961; 2045; 1111; 1023
985; 2045; 1111; 1023
1009; 2045; 1111; 1023
1033; 2045; 1111; 1023
1056; 2045; 1111; 1023
1080; 2045; 1111; 1023
1104; 2045; 1111; 1023
1128; 2045; 1111; 1023
1152; 2045; 1111; 1023
1176; 2045; 1111; 1023
1200; 2045; 1111; 1023
1224; 2045; 1111; 1023
1249; 2045; 1092; 1023
1273; 2045; 1062; 1023
1297; 1796; 1062; 1023
1321; 853; 1042; 1023
1345; 853; 1042; 1023
1368; 258; 1052; 1023
1392; 148; 1052; 1023
1416; 99; 1052; 1023
1439; 89; 1042; 1023
1463; 79; 1052; 1023
1487; 69; 1062; 1023
1510; 69; 1072; 1023
1533; 69; 1072; 1023
1557; 69; 1072; 1023
1581; 69; 1072; 1023
1604; 69; 1072; 1023
1628; 69; 1072; 1023
1651; 69; 1092; 1023
1674; 69; 1101; 1023
1698; 69; 1121; 1023
1722; 69; 1121; 1023
1746; 69; 1121; 1023
1769; 69; 1121; 1023
1793; 69; 1121; 1023
1816; 69; 1131; 1023
1840; 69; 1141; 1023
1864; 69; 1141; 1023
1888; 69; 1141; 1023
1912; 69; 1121; 53
1935; 69; 1121; 53
1958; 69; 1111; 53
1982; 89; 1121; 53
2005; 89; 1121; 51
2028; 138; 1121; 51
2052; 1201; 1111; 51
2076; 1558; 1111; 51
2100; 1757; 1111; 51
2123; 1757; 1111; 51
2146; 1906; 1111; 50
2170; 1985; 1111; 49
2193; 2005; 1111; 49
2217; 2015; 1111; 48
2241; 2015; 1111; 48
2264; 2015; 1111; 48
2287; 2015; 1111; 47
2310; 2015; 1111; 47
2333; 2015; 1111; 47
2356; 2015; 1111; 47
2380; 2015; 1111; 47
2403; 2015; 1111; 46
2426; 2015; 1111; 46
2450; 2015; 1072; 45
2473; 2015; 1072; 45
2497; 2015; 1072; 45
2520; 2015; 1052; 45
2543; 2015; 1032; 44
2567; 2015; 1032; 44
2590; 2015; 1052; 43
2614; 2015; 1052; 43
2638; 2015; 1052; 43
2661; 2015; 1052; 43
2685; 2015; 1072; 43
2708; 2015; 1072; 42
2731; 2015; 1072; 42
2754; 2015; 1072; 41
2777; 2015; 1072; 41
2801; 2015; 1072; 41
2825; 2015; 1082; 40
2849; 2015; 1092; 40
2872; 2015; 1092; 40
2896; 2015; 1092; 40
2920; 2015; 1092; 39
2943; 2015; 1131; 39
2967; 2015; 1131; 39
2990; 2015; 1141; 38
3014; 2015; 1141; 38
3037; 2015; 1151; 37
3060; 2015; 1151; 37
3084; 2015; 1141; 37
3108; 2015; 1141; 37
3132; 2015; 1131; 37
3155; 2015; 1131; 36
3178; 992; 1131; 36
3202; 506; 1131; 36
3225; 506; 1131; 36
3248; 258; 1121; 34
3271; 188; 1121; 34
3295; 138; 1111; 34
3319; 129; 1111; 34
3343; 129; 1111; 33
3367; 129; 1111; 33
3390; 129; 1111; 33
3414; 129; 1111; 32
3438; 129; 1111; 32
3461; 129; 1111; 32
3484; 129; 1111; 32
3507; 129; 1111; 31
3531; 129; 1111; 31
3555; 129; 1111; 30
3578; 129; 1111; 30
3601; 129; 1111; 30
3624; 129; 1111; 30
3647; 129; 1111; 30
3671; 129; 1111; 29
3694; 129; 1072; 29
3718; 129; 1072; 28
3742; 129; 1072; 28
3765; 129; 1072; 28
3789; 129; 1072; 28
3812; 129; 1072; 28
3835; 129; 1072; 27
3858; 129; 1072; 27
3882; 129; 1072; 27
3906; 129; 1072; 26
3930; 129; 1072; 26
3953; 129; 1072; 25
3976; 129; 1072; 25
4000; 1429; 1072; 25
4023; 1767; 1092; 24
4046; 1767; 1092; 24
4070; 1876; 1092; 24
4094; 1955; 1101; 23
4118; 1995; 1101; 23
4142; 2005; 1111; 23
4166; 2005; 1131; 23
4189; 2015; 1141; 23
4213; 2015; 1141; 23
4237; 2015; 1151; 22
4261; 2015; 1151; 22
4285; 2015; 1141; 22
4308; 2015; 1141; 22
4332; 2015; 1131; 21
4356; 2015; 1121; 21
4380; 2015; 1121; 20
4404; 2015; 1121; 20
4428; 2015; 1121; 20
4452; 2015; 1121; 19
4475; 2015; 1121; 19
4498; 2015; 1121; 19
4522; 2015; 1111; 18
4547; 2015; 1111; 18
4571; 2015; 1111; 18
4594; 2015; 1111; 18
4618; 2015; 1111; 18
4642; 2015; 1111; 17
4665; 2015; 1111; 17
4689; 2015; 1111; 16
4713; 2015; 1111; 16


69; 953; 16; min
2154; 1151; 1023; max
1401; 1094.02; 429.71; mittel
